Fecha,Apertura,Máximo,Mínimo,Cierre,Volumen
"May 11, 2025",2583.42,2589.45,2446.6,2508.83,0
"May 10, 2025",2345.76,2597.54,2320.24,2582.42,0
"May 9, 2025",2206.13,2486.01,2186.05,2345.51,0
"May 8, 2025",1811.55,2222.21,1809.46,2206.51,0
"May 7, 2025",1815.02,1849.66,1788.69,1811.61,0
"May 6, 2025",1819.73,1820.8,1753.32,1815.09,0
"May 5, 2025",1808.7,1832.05,1783.31,1819.7,0
"May 4, 2025",1833.65,1850.0,1804.5,1808.59,0
"May 3, 2025",1842.72,1848.25,1812.82,1833.84,0
"May 2, 2025",1839.17,1869.53,1814.73,1842.71,0
"May 1, 2025",1794.04,1872.94,1793.15,1839.22,0
"Apr 30, 2025",1799.21,1816.69,1736.14,1793.78,0
"Apr 29, 2025",1798.91,1842.03,1782.28,1799.18,0
"Apr 28, 2025",1792.45,1827.48,1747.73,1798.85,0
"Apr 27, 2025",1822.18,1856.44,1785.9,1792.86,0
"Apr 26, 2025",1786.53,1839.36,1781.47,1821.88,0
"Apr 25, 2025",1770.0,1826.7,1740.33,1786.63,0
"Apr 24, 2025",1795.98,1801.69,1724.74,1769.83,0
"Apr 23, 2025",1757.2,1829.71,1746.92,1796.1,0
"Apr 22, 2025",1579.82,1773.64,1542.0,1757.33,0
"Apr 21, 2025",1587.46,1656.12,1566.15,1579.73,0
"Apr 20, 2025",1612.97,1618.44,1566.69,1587.51,0
"Apr 19, 2025",1588.97,1629.05,1585.47,1612.92,0
"Apr 18, 2025",1582.4,1599.42,1573.9,1588.92,0
"Apr 17, 2025",1578.01,1615.31,1564.2,1582.55,0
"Apr 16, 2025",1589.03,1610.78,1540.03,1578.11,0
"Apr 15, 2025",1622.77,1659.84,1585.23,1588.63,0
"Apr 14, 2025",1596.88,1689.86,1596.09,1622.77,0
"Apr 13, 2025",1643.5,1648.29,1564.84,1596.69,0
"Apr 12, 2025",1567.16,1666.02,1546.82,1643.53,0
"Apr 11, 2025",1522.47,1587.54,1505.0,1567.15,0
"Apr 10, 2025",1668.2,1669.39,1474.91,1522.52,0
"Apr 9, 2025",1472.6,1687.19,1386.8,1668.04,0
"Apr 8, 2025",1554.93,1617.34,1447.61,1472.55,0
"Apr 7, 2025",1576.95,1634.04,1415.37,1555.24,0
"Apr 6, 2025",1805.96,1815.57,1539.44,1576.73,0
"Apr 5, 2025",1815.34,1826.3,1767.51,1805.97,0
"Apr 4, 2025",1815.61,1833.96,1760.59,1815.34,0
"Apr 3, 2025",1794.98,1844.07,1751.38,1815.64,0
"Apr 2, 2025",1905.48,1951.18,1782.76,1795.31,0
"Apr 1, 2025",1823.56,1926.3,1820.35,1905.49,0
"Mar 31, 2025",1806.32,1852.55,1778.69,1823.48,0
"Mar 30, 2025",1827.31,1847.57,1769.41,1806.22,0
"Mar 29, 2025",1895.55,1911.9,1799.2,1827.32,0
"Mar 28, 2025",2002.41,2015.45,1863.01,1895.5,0
"Mar 27, 2025",2008.94,2037.4,1987.72,2002.36,0
"Mar 26, 2025",2067.51,2078.37,1982.41,2009.19,0
"Mar 25, 2025",2078.57,2096.52,2038.64,2067.76,0
"Mar 24, 2025",2005.72,2101.98,1978.76,2077.48,0
"Mar 23, 2025",1979.98,2019.89,1977.71,2005.3,0
"Mar 22, 2025",1964.94,2005.04,1964.27,1980.04,0
"Mar 21, 2025",1981.85,1994.89,1937.21,1964.85,0
"Mar 20, 2025",2057.95,2067.48,1952.24,1982.1,0
"Mar 19, 2025",1932.54,2068.76,1928.25,2057.75,0
"Mar 18, 2025",1927.01,1935.18,1872.51,1932.54,0
"Mar 17, 2025",1887.45,1951.63,1880.48,1927.0,0
"Mar 16, 2025",1937.38,1940.47,1863.49,1887.44,0
"Mar 15, 2025",1909.53,1955.24,1904.97,1937.39,0
"Mar 14, 2025",1863.0,1945.09,1861.11,1909.47,0
"Mar 13, 2025",1909.02,1919.69,1823.53,1862.97,0
"Mar 12, 2025",1919.66,1954.57,1832.02,1908.98,0
"Mar 11, 2025",1859.78,1961.8,1760.94,1919.84,0
"Mar 10, 2025",2015.43,2150.71,1812.77,1861.15,0
"Mar 9, 2025",2201.71,2210.31,1991.19,2015.51,0
"Mar 8, 2025",2139.8,2232.33,2107.73,2201.51,0
"Mar 7, 2025",2202.5,2254.23,2103.47,2138.99,0
"Mar 6, 2025",2241.91,2319.4,2177.68,2202.48,0
"Mar 5, 2025",2169.99,2272.8,2156.1,2241.98,0
"Mar 4, 2025",2145.65,2220.36,1996.77,2170.02,0
"Mar 3, 2025",2519.53,2522.32,2097.08,2145.57,0
"Mar 2, 2025",2216.52,2548.81,2175.32,2519.69,0
"Mar 1, 2025",2237.94,2279.87,2144.09,2216.64,0
"Feb 28, 2025",2305.56,2310.95,2076.17,2237.91,0
"Feb 27, 2025",2331.51,2378.09,2230.45,2305.48,0
"Feb 26, 2025",2493.38,2503.42,2255.05,2331.45,0
"Feb 25, 2025",2514.21,2529.67,2326.63,2493.59,0
"Feb 24, 2025",2820.46,2839.01,2478.9,2513.82,0
"Feb 23, 2025",2764.03,2850.61,2746.77,2821.31,0
"Feb 22, 2025",2660.04,2797.06,2653.87,2764.03,0
"Feb 21, 2025",2740.02,2842.83,2616.92,2659.66,0
"Feb 20, 2025",2715.68,2770.03,2708.22,2740.39,0
"Feb 19, 2025",2669.21,2735.92,2656.38,2715.77,0
